Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2025-12-03 16:21:36.422277,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,5 427,2 520,2 550,"1,39"
2025-12-03 16:21:36.422340,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,922,4 965,5 000,"0,70"
2025-12-03 16:21:36.422366,BICC,BICI COTE D'IVOIRE,756,19 995,19 500,"-2,21"
2025-12-03 16:21:36.422390,BNBC,BERNABE COTE D'IVOIRE,609,1 355,1 355,"0,00"
2025-12-03 16:21:36.422410,BOAB,BANK OF AFRICA BENIN,579,5 350,5 495,"2,90"
2025-12-03 16:21:36.422430,BOABF,BANK OF AFRICA BURKINA FASO,1 354,3 990,3 990,"0,00"
2025-12-03 16:21:36.422451,BOAC,BANK OF AFRICA COTE D'IVOIRE,2 635,7 200,7 200,"-0,62"
2025-12-03 16:21:36.422469,BOAM,BANK OF AFRICA MALI,1 671,4 000,4 055,"1,50"
2025-12-03 16:21:36.422486,BOAN,BANK OF AFRICA NIGER,5 479,2 500,2 500,"0,00"
2025-12-03 16:21:36.422504,BOAS,BANK OF AFRICA SENEGAL,1 868,5 550,5 495,"-0,99"
2025-12-03 16:21:36.422521,CABC,SICABLE COTE D'IVOIRE,3 496,2 230,2 230,"3,00"
2025-12-03 16:21:36.422539,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,1 367,10 850,10 800,"-0,46"
2025-12-03 16:21:36.422556,CFAC,CFAO MOTORS COTE D'IVOIRE,2 098,1 785,1 755,"-1,40"
2025-12-03 16:21:36.422579,CIEC,CIE COTE D'IVOIRE,1 898,2 460,2 500,"0,00"
2025-12-03 16:21:36.422595,ECOC,ECOBANK COTE D'IVOIRE,307,16 500,16 505,"4,99"
2025-12-03 16:21:36.422611,ETIT,Ecobank Transnational Incorporated TOGO,144 387,22,22,"0,00"
2025-12-03 16:21:36.422627,FTSC,FILTISAC COTE D'IVOIRE,3 458,2 300,2 300,"0,88"
2025-12-03 16:21:36.422644,LNBB,LOTERIE NATIONALE DU BENIN,818,3 795,3 850,"1,58"
2025-12-03 16:21:36.422660,NEIC,NEI-CEDA COTE D'IVOIRE,885,945,950,"4,97"
2025-12-03 16:21:36.422675,NSBC,NSIA BANQUE COTE D'IVOIRE,1 012,11 505,11 990,"0,76"
2025-12-03 16:21:36.422691,NTLC,NESTLE COTE D'IVOIRE,750,11 530,11 495,"-0,30"
2025-12-03 16:21:36.422707,ONTBF,ONATEL BURKINA FASO,4 238,2 520,2 510,"-0,40"
2025-12-03 16:21:36.422723,ORAC,ORANGE COTE D'IVOIRE,1 167,15 000,15 160,"1,07"
2025-12-03 16:21:36.422738,ORGT,ORAGROUP TOGO,1 522,2 565,2 500,"-2,53"
2025-12-03 16:21:36.422755,PALC,PALM COTE D'IVOIRE,5 436,8 075,8 120,"1,37"
2025-12-03 16:21:36.422771,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,1 344,3 895,3 895,"-0,13"
2025-12-03 16:21:36.422788,SAFC,SAFCA COTE D'IVOIRE,3 790,3 160,3 150,"-0,32"
2025-12-03 16:21:36.422808,SCRC,SUCRIVOIRE COTE D'IVOIRE,5 451,1 000,990,"-1,00"
2025-12-03 16:21:36.422826,SDCC,SODE COTE D'IVOIRE,247,6 100,6 100,"0,00"
2025-12-03 16:21:36.422842,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,38 906,1 440,1 450,"0,69"
2025-12-03 16:21:36.422858,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,0,0,700,"0,00"
2025-12-03 16:21:36.422874,SGBC,SOCIETE GENERALE COTE D'IVOIRE,1 257,28 000,28 500,"1,79"
2025-12-03 16:21:36.422889,SHEC,VIVO ENERGY COTE D'IVOIRE,3 422,1 520,1 540,"1,32"
2025-12-03 16:21:36.422907,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,9 338,5 770,5 810,"0,78"
2025-12-03 16:21:36.422924,SICC,SICOR COTE D'IVOIRE,0,0,3 390,"0,00"
2025-12-03 16:21:36.422940,SIVC,AIR LIQUIDE COTE D'IVOIRE,3 029,700,705,"0,71"
2025-12-03 16:21:36.422956,SLBC,SOLIBRA COTE D'IVOIRE,184,27 995,28 000,"0,00"
2025-12-03 16:21:36.422972,SMBC,SMB COTE D'IVOIRE,2 712,9 500,9 790,"3,05"
2025-12-03 16:21:36.422988,SNTS,SONATEL SENEGAL,3 189,25 515,25 950,"0,00"
2025-12-03 16:21:36.423004,SOGC,SOGB COTE D'IVOIRE,1 162,7 940,7 935,"-0,06"
2025-12-03 16:21:36.423019,SPHC,SAPH COTE D'IVOIRE,322,8 000,7 950,"-0,62"
2025-12-03 16:21:36.423035,STAC,SETAO COTE D'IVOIRE,820,1 180,1 180,"2,61"
2025-12-03 16:21:36.423054,STBC,SITAB COTE D'IVOIRE,860,19 490,19 490,"0,05"
2025-12-03 16:21:36.423070,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,2 079,2 395,2 370,"-0,84"
2025-12-03 16:21:36.423085,TTLS,TOTALENERGIES MARKETING SENEGAL,1 910,2 550,2 490,"-2,35"
2025-12-03 16:21:36.423101,UNLC,UNILEVER COTE D'IVOIRE,7,43 300,43 390,"-0,02"
2025-12-03 16:21:36.423116,UNXC,UNIWAX COTE D'IVOIRE,1 927,1 450,1 445,"-0,34"
