Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-03-25 04:14:28.917626,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,1 941,3 730,3 545,"-4,96"
2026-03-25 04:14:28.917671,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,554,5 185,5 100,"-1,64"
2026-03-25 04:14:28.917697,BICC,BICI COTE D'IVOIRE,817,24 000,24 400,"-1,39"
2026-03-25 04:14:28.917720,BNBC,BERNABE COTE D'IVOIRE,2 430,1 605,1 580,"-1,56"
2026-03-25 04:14:28.917739,BOAB,BANK OF AFRICA BENIN,3 089,7 810,7 650,"-2,11"
2026-03-25 04:14:28.917759,BOABF,BANK OF AFRICA BURKINA FASO,3 122,5 405,5 415,"0,28"
2026-03-25 04:14:28.917776,BOAC,BANK OF AFRICA COTE D'IVOIRE,7 514,8 790,8 700,"-1,02"
2026-03-25 04:14:28.917793,BOAM,BANK OF AFRICA MALI,8 710,4 770,4 760,"-0,63"
2026-03-25 04:14:28.917810,BOAN,BANK OF AFRICA NIGER,5 655,2 510,2 575,"4,67"
2026-03-25 04:14:28.917828,BOAS,BANK OF AFRICA SENEGAL,7 712,6 870,6 720,"-2,47"
2026-03-25 04:14:28.917845,CABC,SICABLE COTE D'IVOIRE,2 938,3 280,3 165,"-3,36"
2026-03-25 04:14:28.917862,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,568,13 705,13 715,"0,07"
2026-03-25 04:14:28.917880,CFAC,CFAO MOTORS COTE D'IVOIRE,2 272,1 620,1 675,"-4,29"
2026-03-25 04:14:28.917896,CIEC,CIE COTE D'IVOIRE,10 021,3 340,3 345,"0,15"
2026-03-25 04:14:28.917912,ECOC,ECOBANK COTE D'IVOIRE,790,16 805,16 300,"-2,40"
2026-03-25 04:14:28.917929,ETIT,Ecobank Transnational Incorporated TOGO,316 858,32,32,"0,00"
2026-03-25 04:14:28.917945,FTSC,FILTISAC COTE D'IVOIRE,2 936,2 300,2 295,"0,22"
2026-03-25 04:14:28.917961,LNBB,LOTERIE NATIONALE DU BENIN,3 592,3 825,3 825,"0,00"
2026-03-25 04:14:28.917981,NEIC,NEI-CEDA COTE D'IVOIRE,1 518,1 380,1 350,"-2,17"
2026-03-25 04:14:28.917997,NSBC,NSIA BANQUE COTE D'IVOIRE,911,14 000,14 000,"0,00"
2026-03-25 04:14:28.918013,NTLC,NESTLE COTE D'IVOIRE,50 573,12 875,13 000,"0,85"
2026-03-25 04:14:28.918035,ONTBF,ONATEL BURKINA FASO,1 610,3 000,2 995,"-0,17"
2026-03-25 04:14:28.918051,ORAC,ORANGE COTE D'IVOIRE,1 115,14 500,14 600,"2,82"
2026-03-25 04:14:28.918070,ORGT,ORAGROUP TOGO,10 095,3 885,3 780,"4,56"
2026-03-25 04:14:28.918087,PALC,PALM COTE D'IVOIRE,2 140,8 695,8 695,"-7,50"
2026-03-25 04:14:28.918104,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,1 929,4 980,4 890,"1,88"
2026-03-25 04:14:28.918121,SAFC,SAFCA COTE D'IVOIRE,2 610,6 000,5 995,"3,27"
2026-03-25 04:14:28.918138,SCRC,SUCRIVOIRE COTE D'IVOIRE,3 222,1 585,1 540,"-3,14"
2026-03-25 04:14:28.918154,SDCC,SODE COTE D'IVOIRE,192,7 695,7 500,"-2,60"
2026-03-25 04:14:28.918170,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,14 866,1 960,1 920,"5,21"
2026-03-25 04:14:28.918186,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,6 032,1 995,2 050,"3,02"
2026-03-25 04:14:28.918202,SGBC,SOCIETE GENERALE COTE D'IVOIRE,609,34 995,34 995,"-0,01"
2026-03-25 04:14:28.918222,SHEC,VIVO ENERGY COTE D'IVOIRE,3 513,2 150,2 175,"1,16"
2026-03-25 04:14:28.918238,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,2 742,7 000,6 860,"-0,80"
2026-03-25 04:14:28.918255,SICC,SICOR COTE D'IVOIRE,9,4 135,4 135,"7,40"
2026-03-25 04:14:28.918270,SIVC,ERIUM COTE D’IVOIRE,4 633,2 700,2 775,"3,74"
2026-03-25 04:14:28.918301,SLBC,SOLIBRA COTE D'IVOIRE,218,39 100,39 000,"0,21"
2026-03-25 04:14:28.918318,SMBC,SMB COTE D'IVOIRE,1 176,12 740,12 740,"-4,17"
2026-03-25 04:14:28.918334,SNTS,SONATEL SENEGAL,4 303,28 500,28 205,"0,02"
2026-03-25 04:14:28.918350,SOGC,SOGB COTE D'IVOIRE,3 480,8 400,7 990,"-6,00"
2026-03-25 04:14:28.918366,SPHC,SAPH COTE D'IVOIRE,12 319,7 240,7 600,"4,97"
2026-03-25 04:14:28.918382,STAC,SETAO COTE D'IVOIRE,752,2 445,2 360,"-3,67"
2026-03-25 04:14:28.918398,STBC,SITAB COTE D'IVOIRE,870,21 750,21 990,"0,02"
2026-03-25 04:14:28.918415,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,27 668,3 000,2 810,"-6,18"
2026-03-25 04:14:28.918432,TTLS,TOTALENERGIES MARKETING SENEGAL,925,3 020,3 190,"5,45"
2026-03-25 04:14:28.918448,UNLC,UNILEVER COTE D'IVOIRE,82,50 490,58 000,"6,27"
2026-03-25 04:14:28.918468,UNXC,UNIWAX COTE D'IVOIRE,11 296,2 095,2 095,"0,00"
