Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-01-08 06:26:30.703464,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,1 489,2 750,2 730,"-1,80"
2026-01-08 06:26:30.703504,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,2 957,4 955,4 970,"0,40"
2026-01-08 06:26:30.703534,BICC,BICI COTE D'IVOIRE,201,19 290,19 270,"-0,10"
2026-01-08 06:26:30.703560,BNBC,BERNABE COTE D'IVOIRE,556,1 370,1 395,"2,20"
2026-01-08 06:26:30.703579,BOAB,BANK OF AFRICA BENIN,2 226,5 900,5 945,"0,76"
2026-01-08 06:26:30.703599,BOABF,BANK OF AFRICA BURKINA FASO,725,3 900,3 980,"0,13"
2026-01-08 06:26:30.703616,BOAC,BANK OF AFRICA COTE D'IVOIRE,2 842,7 105,7 190,"1,20"
2026-01-08 06:26:30.703633,BOAM,BANK OF AFRICA MALI,18 631,3 990,3 995,"0,13"
2026-01-08 06:26:30.703650,BOAN,BANK OF AFRICA NIGER,964,2 500,2 550,"-0,97"
2026-01-08 06:26:30.703668,BOAS,BANK OF AFRICA SENEGAL,2 236,5 230,5 240,"0,19"
2026-01-08 06:26:30.703685,CABC,SICABLE COTE D'IVOIRE,571,2 300,2 300,"-2,34"
2026-01-08 06:26:30.703703,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,238,10 860,10 955,"0,87"
2026-01-08 06:26:30.703721,CFAC,CFAO MOTORS COTE D'IVOIRE,1 727,1 250,1 275,"2,00"
2026-01-08 06:26:30.703738,CIEC,CIE COTE D'IVOIRE,5 891,2 385,2 405,"1,26"
2026-01-08 06:26:30.703754,ECOC,ECOBANK COTE D'IVOIRE,1 626,16 200,16 200,"0,00"
2026-01-08 06:26:30.703774,ETIT,Ecobank Transnational Incorporated TOGO,209 123,22,22,"0,00"
2026-01-08 06:26:30.703790,FTSC,FILTISAC COTE D'IVOIRE,10 131,1 800,2 065,"7,27"
2026-01-08 06:26:30.703807,LNBB,LOTERIE NATIONALE DU BENIN,254,3 970,4 195,"-2,21"
2026-01-08 06:26:30.703824,NEIC,NEI-CEDA COTE D'IVOIRE,773,980,1 005,"0,50"
2026-01-08 06:26:30.703840,NSBC,NSIA BANQUE COTE D'IVOIRE,1 091,11 300,11 300,"-0,88"
2026-01-08 06:26:30.703860,NTLC,NESTLE COTE D'IVOIRE,1 061,10 895,10 900,"0,00"
2026-01-08 06:26:30.703877,ONTBF,ONATEL BURKINA FASO,1 125,2 460,2 475,"0,61"
2026-01-08 06:26:30.703893,ORAC,ORANGE COTE D'IVOIRE,1 514,14 190,14 190,"0,00"
2026-01-08 06:26:30.703909,ORGT,ORAGROUP TOGO,1 324,2 600,2 640,"1,54"
2026-01-08 06:26:30.703926,PALC,PALM COTE D'IVOIRE,699,7 960,7 950,"0,00"
2026-01-08 06:26:30.703942,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,241,3 785,3 790,"0,00"
2026-01-08 06:26:30.703964,SAFC,SAFCA COTE D'IVOIRE,964,3 200,3 200,"0,00"
2026-01-08 06:26:30.703982,SCRC,SUCRIVOIRE COTE D'IVOIRE,3 144,1 065,1 060,"0,00"
2026-01-08 06:26:30.703998,SDCC,SODE COTE D'IVOIRE,714,5 800,5 800,"0,00"
2026-01-08 06:26:30.704016,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,11 159,1 515,1 490,"1,71"
2026-01-08 06:26:30.704032,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,14 770,925,925,"6,94"
2026-01-08 06:26:30.704050,SGBC,SOCIETE GENERALE COTE D'IVOIRE,445,29 400,29 400,"0,00"
2026-01-08 06:26:30.704067,SHEC,VIVO ENERGY COTE D'IVOIRE,4 020,1 480,1 550,"4,73"
2026-01-08 06:26:30.704083,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,4 403,5 735,5 970,"4,10"
2026-01-08 06:26:30.704099,SICC,SICOR COTE D'IVOIRE,17,3 555,3 555,"0,00"
2026-01-08 06:26:30.704114,SIVC,ERIUM COTE D’IVOIRE,13 220,1 700,1 665,"-1,77"
2026-01-08 06:26:30.704130,SLBC,SOLIBRA COTE D'IVOIRE,528,28 780,27 500,"-0,02"
2026-01-08 06:26:30.704146,SMBC,SMB COTE D'IVOIRE,1 185,9 400,9 200,"-3,16"
2026-01-08 06:26:30.704162,SNTS,SONATEL SENEGAL,1 387,25 500,25 500,"0,00"
2026-01-08 06:26:30.704179,SOGC,SOGB COTE D'IVOIRE,2 611,7 790,7 750,"-0,64"
2026-01-08 06:26:30.704194,SPHC,SAPH COTE D'IVOIRE,1 175,7 505,7 680,"-0,26"
2026-01-08 06:26:30.704211,STAC,SETAO COTE D'IVOIRE,1 505,1 280,1 275,"0,00"
2026-01-08 06:26:30.704227,STBC,SITAB COTE D'IVOIRE,2 793,19 680,19 400,"-1,42"
2026-01-08 06:26:30.704245,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,3 607,2 350,2 345,"-0,21"
2026-01-08 06:26:30.704261,TTLS,TOTALENERGIES MARKETING SENEGAL,1 913,2 425,2 450,"1,03"
2026-01-08 06:26:30.704276,UNLC,UNILEVER COTE D'IVOIRE,1,37 500,37 500,"7,14"
2026-01-08 06:26:30.704292,UNXC,UNIWAX COTE D'IVOIRE,3 774,1 380,1 395,"1,09"
