Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-05-28 02:36:52.045026,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,914,2 880,2 880,"0,17"
2026-05-28 02:36:52.045057,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,2 400,5 200,5 190,"-0,67"
2026-05-28 02:36:52.045075,BICC,BICI COTE D'IVOIRE,117,27 100,27 500,"1,85"
2026-05-28 02:36:52.045092,BNBC,BERNABE COTE D'IVOIRE,447,1 495,1 495,"-0,33"
2026-05-28 02:36:52.045106,BOAB,BANK OF AFRICA BENIN,4 659,8 960,8 900,"-0,56"
2026-05-28 02:36:52.045120,BOABF,BANK OF AFRICA BURKINA FASO,1 460,5 435,5 500,"1,10"
2026-05-28 02:36:52.045132,BOAC,BANK OF AFRICA COTE D'IVOIRE,4 991,8 850,8 825,"-0,51"
2026-05-28 02:36:52.045144,BOAM,BANK OF AFRICA MALI,7 441,4 995,5 000,"0,20"
2026-05-28 02:36:52.045157,BOAN,BANK OF AFRICA NIGER,2 678,3 750,3 740,"0,27"
2026-05-28 02:36:52.045169,BOAS,BANK OF AFRICA SENEGAL,25 990,7 950,7 745,"-3,07"
2026-05-28 02:36:52.045182,CABC,SICABLE COTE D'IVOIRE,210,3 845,3 700,"3,21"
2026-05-28 02:36:52.045195,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,226,21 495,21 465,"3,70"
2026-05-28 02:36:52.045207,CFAC,CFAO MOTORS COTE D'IVOIRE,725,1 485,1 485,"0,00"
2026-05-28 02:36:52.045226,CIEC,CIE COTE D'IVOIRE,12 278,4 040,4 010,"-0,74"
2026-05-28 02:36:52.045238,ECOC,ECOBANK COTE D'IVOIRE,148,16 300,16 300,"0,00"
2026-05-28 02:36:52.045250,ETIT,Ecobank Transnational Incorporated TOGO,409 392,29,29,"-3,33"
2026-05-28 02:36:52.045263,FTSC,FILTISAC COTE D'IVOIRE,665,2 300,2 300,"0,88"
2026-05-28 02:36:52.045275,LNBB,LOTERIE NATIONALE DU BENIN,306,3 830,3 990,"3,37"
2026-05-28 02:36:52.045289,NEIC,NEI-CEDA COTE D'IVOIRE,1 725,1 990,1 900,"-4,52"
2026-05-28 02:36:52.045301,NSBC,NSIA BANQUE COTE D'IVOIRE,1 697,18 005,18 000,"0,00"
2026-05-28 02:36:52.045315,NTLC,NESTLE COTE D'IVOIRE,653,13 020,13 005,"0,00"
2026-05-28 02:36:52.045344,ONTBF,ONATEL BURKINA FASO,1 805,2 790,2 855,"0,18"
2026-05-28 02:36:52.045368,ORAC,ORANGE COTE D'IVOIRE,348,16 000,15 700,"0,96"
2026-05-28 02:36:52.045382,ORGT,ORAGROUP TOGO,2 192,2 750,2 740,"1,48"
2026-05-28 02:36:52.045395,PALC,PALM COTE D'IVOIRE,2 077,7 680,7 800,"1,56"
2026-05-28 02:36:52.045407,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,85,4 500,4 470,"6,18"
2026-05-28 02:36:52.045419,SAFC,SAFCA COTE D'IVOIRE,1 988,3 750,3 600,"-2,70"
2026-05-28 02:36:52.045431,SCRC,SUCRIVOIRE COTE D'IVOIRE,17 388,2 650,2 500,"-5,48"
2026-05-28 02:36:52.045443,SDCC,SODE COTE D'IVOIRE,367,11 000,11 105,"0,09"
2026-05-28 02:36:52.045455,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,1 826,1 700,1 690,"-0,59"
2026-05-28 02:36:52.045467,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,4 828,1 475,1 415,"-4,71"
2026-05-28 02:36:52.045479,SGBC,SOCIETE GENERALE COTE D'IVOIRE,4 227,36 200,36 600,"1,67"
2026-05-28 02:36:52.045493,SHEC,VIVO ENERGY COTE D'IVOIRE,1 531,1 935,1 910,"-1,29"
2026-05-28 02:36:52.045504,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,4 940,8 200,7 700,"-5,64"
2026-05-28 02:36:52.045516,SICC,SICOR COTE D'IVOIRE,83,4 400,4 390,"-0,23"
2026-05-28 02:36:52.045528,SIVC,ERIUM COTE D’IVOIRE,1 098,2 900,2 875,"0,70"
2026-05-28 02:36:52.045540,SLBC,SOLIBRA COTE D'IVOIRE,251,37 950,38 010,"0,17"
2026-05-28 02:36:52.045551,SMBC,SMB COTE D'IVOIRE,275,12 640,13 000,"0,81"
2026-05-28 02:36:52.045564,SNTS,SONATEL SENEGAL,1 415,28 400,28 450,"-0,18"
2026-05-28 02:36:52.045576,SOGC,SOGB COTE D'IVOIRE,608,7 395,7 395,"0,07"
2026-05-28 02:36:52.045588,SPHC,SAPH COTE D'IVOIRE,866,6 945,6 945,"0,00"
2026-05-28 02:36:52.045600,STAC,SETAO COTE D'IVOIRE,13 320,3 005,3 115,"7,41"
2026-05-28 02:36:52.045614,STBC,SITAB COTE D'IVOIRE,242,21 275,21 290,"0,07"
2026-05-28 02:36:52.045626,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,693,2 870,2 870,"-0,17"
2026-05-28 02:36:52.045640,TTLS,TOTALENERGIES MARKETING SENEGAL,1 726,3 100,3 200,"0,16"
2026-05-28 02:36:52.045652,UNLC,UNILEVER COTE D'IVOIRE,17,56 205,56 205,"-4,74"
2026-05-28 02:36:52.045666,UNXC,UNIWAX COTE D'IVOIRE,5 051,1 785,1 780,"-0,84"
