Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-07-23 20:55:18.726848,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,2 037,3 190,3 180,"0,00"
2026-07-23 20:55:18.726880,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,3 881,7 085,7 085,"7,43"
2026-07-23 20:55:18.726897,BICC,BICI COTE D'IVOIRE,720,28 100,27 505,"-1,94"
2026-07-23 20:55:18.726911,BNBC,BERNABE COTE D'IVOIRE,683,1 975,1 990,"0,76"
2026-07-23 20:55:18.726923,BOAB,BANK OF AFRICA BENIN,4 046,8 700,8 695,"-0,06"
2026-07-23 20:55:18.726936,BOABF,BANK OF AFRICA BURKINA FASO,2 690,7 200,7 150,"-0,69"
2026-07-23 20:55:18.726949,BOAC,BANK OF AFRICA COTE D'IVOIRE,8 274,9 990,10 000,"1,27"
2026-07-23 20:55:18.726961,BOAM,BANK OF AFRICA MALI,3 670,5 620,5 615,"-0,27"
2026-07-23 20:55:18.726973,BOAN,BANK OF AFRICA NIGER,7 542,5 190,5 345,"2,79"
2026-07-23 20:55:18.726985,BOAS,BANK OF AFRICA SENEGAL,2 123,7 495,7 580,"1,13"
2026-07-23 20:55:18.726996,CABC,SICABLE COTE D'IVOIRE,443,3 850,3 940,"2,34"
2026-07-23 20:55:18.727008,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,1 472,26 450,26 450,"0,00"
2026-07-23 20:55:18.727020,CFAC,CFAO MOTORS COTE D'IVOIRE,1 038,1 695,1 695,"0,00"
2026-07-23 20:55:18.727031,CIEC,CIE COTE D'IVOIRE,2 779,5 200,5 390,"3,65"
2026-07-23 20:55:18.727042,ECOC,ECOBANK COTE D'IVOIRE,705,15 890,15 900,"1,18"
2026-07-23 20:55:18.727053,ETIT,Ecobank Transnational Incorporated TOGO,3 805 473,70,75,"7,14"
2026-07-23 20:55:18.727065,FTSC,FILTISAC COTE D'IVOIRE,2 259,1 985,1 970,"-0,76"
2026-07-23 20:55:18.727076,LNBB,LOTERIE NATIONALE DU BENIN,1 378,4 310,4 320,"0,23"
2026-07-23 20:55:18.727088,NEIC,NEI-CEDA COTE D'IVOIRE,1 729,2 200,2 190,"-0,45"
2026-07-23 20:55:18.727099,NSBC,NSIA BANQUE COTE D'IVOIRE,1 512,23 000,23 000,"0,44"
2026-07-23 20:55:18.727110,NTLC,NESTLE COTE D'IVOIRE,423,16 200,16 495,"2,45"
2026-07-23 20:55:18.727121,ONTBF,ONATEL BURKINA FASO,2 975,2 795,2 775,"1,09"
2026-07-23 20:55:18.727134,ORAC,ORANGE COTE D'IVOIRE,1 449,16 100,16 300,"1,84"
2026-07-23 20:55:18.727146,ORGT,ORAGROUP TOGO,2 237,2 680,2 680,"0,00"
2026-07-23 20:55:18.727157,PALC,PALM COTE D'IVOIRE,1 847,8 900,8 850,"0,57"
2026-07-23 20:55:18.727169,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,906,4 630,4 605,"-0,54"
2026-07-23 20:55:18.727180,SAFC,SAFCA COTE D'IVOIRE,2 692,4 650,4 550,"-0,66"
2026-07-23 20:55:18.727192,SCRC,SUCRIVOIRE COTE D'IVOIRE,10 074,3 595,3 500,"-1,41"
2026-07-23 20:55:18.727203,SDCC,SODE COTE D'IVOIRE,561,11 900,11 900,"0,00"
2026-07-23 20:55:18.727213,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,29 318,2 770,2 770,"0,00"
2026-07-23 20:55:18.727224,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,8 238,1 430,1 520,"6,29"
2026-07-23 20:55:18.727235,SGBC,SOCIETE GENERALE COTE D'IVOIRE,1 770,38 150,37 995,"-0,01"
2026-07-23 20:55:18.727246,SHEC,VIVO ENERGY COTE D'IVOIRE,2 882,2 205,2 210,"0,23"
2026-07-23 20:55:18.727258,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,9 710,8 800,8 650,"-1,70"
2026-07-23 20:55:18.727270,SICC,SICOR COTE D'IVOIRE,51,5 600,5 300,"-5,36"
2026-07-23 20:55:18.727280,SIVC,ERIUM COTE D’IVOIRE,2 394,2 295,2 250,"0,00"
2026-07-23 20:55:18.727293,SLBC,SOLIBRA COTE D'IVOIRE,751,38 900,39 995,"2,56"
2026-07-23 20:55:18.727304,SMBC,SMB COTE D'IVOIRE,1 253,16 600,16 000,"-3,90"
2026-07-23 20:55:18.727315,SNTS,SONATEL SENEGAL,1 750,31 500,31 800,"0,95"
2026-07-23 20:55:18.727326,SOGC,SOGB COTE D'IVOIRE,1 032,8 200,8 300,"1,22"
2026-07-23 20:55:18.727337,SPHC,SAPH COTE D'IVOIRE,1 723,7 350,7 480,"1,77"
2026-07-23 20:55:18.727348,STAC,SETAO COTE D'IVOIRE,834,2 995,3 000,"0,33"
2026-07-23 20:55:18.727359,STBC,SITAB COTE D'IVOIRE,4 602,23 400,23 405,"-0,40"
2026-07-23 20:55:18.727370,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,3 087,3 000,3 000,"1,69"
2026-07-23 20:55:18.727381,TTLS,TOTALENERGIES MARKETING SENEGAL,2 026,3 700,3 800,"2,70"
2026-07-23 20:55:18.727392,UNLC,UNILEVER COTE D'IVOIRE,4,52 000,52 000,"0,00"
2026-07-23 20:55:18.727403,UNXC,UNIWAX COTE D'IVOIRE,10 251,1 890,1 830,"-3,17"
