Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-07-23 17:12:53.002955,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,2 037,3 190,3 180,"0,00"
2026-07-23 17:12:53.002994,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,3 881,7 085,7 085,"7,43"
2026-07-23 17:12:53.003086,BICC,BICI COTE D'IVOIRE,720,28 100,27 505,"-1,94"
2026-07-23 17:12:53.003122,BNBC,BERNABE COTE D'IVOIRE,683,1 975,1 990,"0,76"
2026-07-23 17:12:53.003144,BOAB,BANK OF AFRICA BENIN,4 046,8 700,8 695,"-0,06"
2026-07-23 17:12:53.003164,BOABF,BANK OF AFRICA BURKINA FASO,2 690,7 200,7 150,"-0,69"
2026-07-23 17:12:53.003185,BOAC,BANK OF AFRICA COTE D'IVOIRE,8 274,9 990,10 000,"1,27"
2026-07-23 17:12:53.003202,BOAM,BANK OF AFRICA MALI,3 670,5 620,5 615,"-0,27"
2026-07-23 17:12:53.003220,BOAN,BANK OF AFRICA NIGER,7 542,5 190,5 345,"2,79"
2026-07-23 17:12:53.003239,BOAS,BANK OF AFRICA SENEGAL,2 123,7 495,7 580,"1,13"
2026-07-23 17:12:53.003256,CABC,SICABLE COTE D'IVOIRE,443,3 850,3 940,"2,34"
2026-07-23 17:12:53.003274,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,1 472,26 450,26 450,"0,00"
2026-07-23 17:12:53.003292,CFAC,CFAO MOTORS COTE D'IVOIRE,1 038,1 695,1 695,"0,00"
2026-07-23 17:12:53.003310,CIEC,CIE COTE D'IVOIRE,2 779,5 200,5 390,"3,65"
2026-07-23 17:12:53.003327,ECOC,ECOBANK COTE D'IVOIRE,705,15 890,15 900,"1,18"
2026-07-23 17:12:53.003343,ETIT,Ecobank Transnational Incorporated TOGO,3 805 473,70,75,"7,14"
2026-07-23 17:12:53.003359,FTSC,FILTISAC COTE D'IVOIRE,2 259,1 985,1 970,"-0,76"
2026-07-23 17:12:53.003376,LNBB,LOTERIE NATIONALE DU BENIN,1 378,4 310,4 320,"0,23"
2026-07-23 17:12:53.003393,NEIC,NEI-CEDA COTE D'IVOIRE,1 729,2 200,2 190,"-0,45"
2026-07-23 17:12:53.003409,NSBC,NSIA BANQUE COTE D'IVOIRE,1 512,23 000,23 000,"0,44"
2026-07-23 17:12:53.003425,NTLC,NESTLE COTE D'IVOIRE,423,16 200,16 495,"2,45"
2026-07-23 17:12:53.003442,ONTBF,ONATEL BURKINA FASO,2 975,2 795,2 775,"1,09"
2026-07-23 17:12:53.003458,ORAC,ORANGE COTE D'IVOIRE,1 449,16 100,16 300,"1,84"
2026-07-23 17:12:53.003474,ORGT,ORAGROUP TOGO,2 237,2 680,2 680,"0,00"
2026-07-23 17:12:53.003492,PALC,PALM COTE D'IVOIRE,1 847,8 900,8 850,"0,57"
2026-07-23 17:12:53.003508,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,906,4 630,4 605,"-0,54"
2026-07-23 17:12:53.003525,SAFC,SAFCA COTE D'IVOIRE,2 692,4 650,4 550,"-0,66"
2026-07-23 17:12:53.003542,SCRC,SUCRIVOIRE COTE D'IVOIRE,10 074,3 595,3 500,"-1,41"
2026-07-23 17:12:53.003558,SDCC,SODE COTE D'IVOIRE,561,11 900,11 900,"0,00"
2026-07-23 17:12:53.003574,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,29 318,2 770,2 770,"0,00"
2026-07-23 17:12:53.003590,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,8 238,1 430,1 520,"6,29"
2026-07-23 17:12:53.003606,SGBC,SOCIETE GENERALE COTE D'IVOIRE,1 770,38 150,37 995,"-0,01"
2026-07-23 17:12:53.003626,SHEC,VIVO ENERGY COTE D'IVOIRE,2 882,2 205,2 210,"0,23"
2026-07-23 17:12:53.003643,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,9 710,8 800,8 650,"-1,70"
2026-07-23 17:12:53.003659,SICC,SICOR COTE D'IVOIRE,51,5 600,5 300,"-5,36"
2026-07-23 17:12:53.003675,SIVC,ERIUM COTE D’IVOIRE,2 394,2 295,2 250,"0,00"
2026-07-23 17:12:53.003691,SLBC,SOLIBRA COTE D'IVOIRE,751,38 900,39 995,"2,56"
2026-07-23 17:12:53.003707,SMBC,SMB COTE D'IVOIRE,1 253,16 600,16 000,"-3,90"
2026-07-23 17:12:53.003723,SNTS,SONATEL SENEGAL,1 750,31 500,31 800,"0,95"
2026-07-23 17:12:53.003740,SOGC,SOGB COTE D'IVOIRE,1 032,8 200,8 300,"1,22"
2026-07-23 17:12:53.003756,SPHC,SAPH COTE D'IVOIRE,1 723,7 350,7 480,"1,77"
2026-07-23 17:12:53.003773,STAC,SETAO COTE D'IVOIRE,834,2 995,3 000,"0,33"
2026-07-23 17:12:53.003790,STBC,SITAB COTE D'IVOIRE,4 602,23 400,23 405,"-0,40"
2026-07-23 17:12:53.003806,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,3 087,3 000,3 000,"1,69"
2026-07-23 17:12:53.003822,TTLS,TOTALENERGIES MARKETING SENEGAL,2 026,3 700,3 800,"2,70"
2026-07-23 17:12:53.003838,UNLC,UNILEVER COTE D'IVOIRE,4,52 000,52 000,"0,00"
2026-07-23 17:12:53.003857,UNXC,UNIWAX COTE D'IVOIRE,10 251,1 890,1 830,"-3,17"
